T24,T30,T50,P15,P30,Nf,Nc,Ps30,phi,NRf,NRc,BPR,htBleed,W31,W32,unit_number,time_cycles,RUL_raw,RUL_capped
-0.131908,1.236908,-0.680543,0.202722,0.914884,0.568393,-1.181034,0.427332,-0.420089,-1.075555,-0.50069,-0.883161,0.590767,1.978081,0.361252,1.0,14.0,178.0,125.0
0.08197,-0.723304,-0.177051,0.202722,-0.450062,0.940248,-0.605918,-0.382512,1.250309,0.397065,-1.364642,0.010994,-1.166191,0.511991,-0.055345,1.0,15.0,177.0,125.0
-0.720071,0.169848,0.224726,0.202722,0.037419,-0.175317,-0.94743,-0.729588,-0.782343,0.212988,-0.289418,-0.989698,-0.287712,0.357666,1.286453,1.0,16.0,176.0,125.0
0.48299,-0.478546,-0.546618,0.202722,-0.190072,0.01061,-0.285749,-1.423739,0.022667,-0.339245,-0.14354,1.316079,-0.287712,-0.876936,-0.286645,1.0,17.0,175.0,125.0
0.589929,0.82683,-1.195902,0.202722,0.459902,-0.175317,-0.922528,-0.903126,-0.238961,0.212988,-0.714477,-0.639646,-0.287712,-0.259635,0.566994,1.0,18.0,174.0,125.0
-1.62905,0.079674,-0.478807,0.202722,0.427403,-0.361245,-0.396029,0.195948,0.022667,-0.523323,-1.167203,0.475193,-1.166191,-0.954099,-0.101349,1.0,19.0,173.0,125.0
1.712785,-1.305141,0.34848,0.202722,1.451112,-0.175317,-1.355348,-0.84528,0.384922,-0.7074,-1.094264,0.052848,-0.287712,0.820642,0.864745,1.0,20.0,172.0,125.0
-0.078438,-0.240229,-0.855155,0.202722,0.26491,0.940248,-1.088541,-1.250201,1.089306,0.397065,-0.552251,-0.559743,-0.287712,1.283618,-0.565228,1.0,21.0,171.0,125.0
0.990949,1.232614,-0.441511,0.202722,-0.466311,-0.361245,0.460124,-0.729588,0.244045,-0.523323,-1.006234,-0.616817,-0.287712,-0.028147,0.317803,1.0,22.0,170.0,125.0
-0.693336,0.214935,-1.428153,0.202722,0.102416,-0.175317,-1.310288,-0.671742,-0.721968,-0.155168,-1.321885,0.166995,-0.287712,0.126178,1.301788,1.0,23.0,169.0,125.0
-0.051704,0.781743,-0.739877,0.202722,-0.693802,1.126175,-1.609111,0.427332,0.505674,-0.523323,-0.569857,-1.160919,-0.287712,0.589154,0.195124,1.0,24.0,168.0,125.0
0.990949,1.483813,-0.641552,0.202722,0.134915,-0.7331,-0.375871,-0.035436,1.37106,-0.7074,-0.226539,-1.061992,0.590767,0.203341,0.951643,1.0,25.0,167.0,125.0
-0.639867,0.406018,-1.204378,0.202722,0.313658,0.196538,-1.211866,-0.613896,0.807553,0.02891,-0.913174,0.243093,1.469246,-0.491123,0.774014,1.0,26.0,166.0,125.0
0.108704,0.704451,-0.226213,0.202722,0.24866,-0.7331,-1.111072,0.02241,0.244045,1.317453,-0.479311,-0.571158,0.590767,0.511991,1.186777,1.0,27.0,165.0,125.0
-0.131908,-0.93371,-0.685629,0.202722,1.239871,1.126175,-0.88814,0.253794,1.391185,0.397065,-1.397339,0.482803,-2.04467,0.666317,-0.897482,1.0,28.0,164.0,125.0
-1.308234,-0.506457,-0.370311,0.202722,0.541149,-0.175317,-0.813434,-0.729588,1.069181,0.02891,-0.672978,-0.027056,0.590767,0.049015,0.068612,1.0,29.0,163.0,125.0
-0.532928,1.359287,-1.202683,0.202722,0.736141,0.196538,-1.388551,0.195948,0.626425,-1.075555,-0.069343,-0.498865,-2.04467,0.974967,0.724176,1.0,30.0,162.0,125.0
-1.014152,-0.646012,-1.063672,0.202722,0.346157,0.382465,0.171973,0.253794,0.143419,0.02891,-1.651369,-0.350473,-0.287712,0.126178,-0.243196,1.0,31.0,161.0,125.0
-0.185377,0.899828,-0.477112,0.202722,1.694853,-0.361245,-0.754144,-0.671742,0.083043,0.212988,-1.095522,-0.183057,-0.287712,0.743479,1.860231,1.0,32.0,160.0,125.0
0.830541,0.260022,-0.126193,0.202722,1.126125,-0.361245,-1.209494,-0.498204,0.062918,0.397065,-0.501948,-1.685997,-0.287712,-0.722611,-0.047677,1.0,33.0,159.0,125.0
0.376051,-1.227849,-0.456769,0.202722,0.622396,-0.547173,-1.288943,0.60087,-0.359713,0.581143,-1.484112,0.58173,-0.287712,-0.876936,-0.576729,1.0,34.0,158.0,125.0
0.108704,0.603542,-0.029563,0.202722,0.622396,-0.361245,-1.37195,-0.324666,-0.259087,-0.891478,0.221156,0.889928,-1.166191,1.592268,0.793183,1.0,35.0,157.0,125.0
0.376051,-1.174174,0.401033,0.202722,0.996131,-0.919028,-1.514247,-0.671742,0.888054,-0.339245,-0.745917,0.189824,-0.287712,-0.491123,0.977201,1.0,36.0,156.0,125.0
-1.094356,-1.734541,-0.72462,0.202722,1.158624,0.196538,-0.224087,-0.440358,0.827678,-0.339245,-0.812568,-0.205886,-0.287712,0.511991,1.033428,1.0,37.0,155.0,125.0
-1.254764,0.517662,-0.622904,0.202722,1.27237,0.382465,-0.244246,-0.55605,1.089306,0.397065,-0.226539,-0.145008,-0.287712,1.05213,1.565036,1.0,38.0,154.0,125.0
-1.040887,-0.854271,-0.421168,0.202722,0.086167,-0.7331,-0.660465,-1.423739,0.706926,-0.155168,-0.830174,-0.213496,-0.287712,-1.725725,0.198958,1.0,39.0,153.0,125.0
-0.425989,-1.096882,-0.23808,0.202722,1.061128,0.01061,-0.515796,-0.208974,-0.077959,-0.891478,-0.928265,-1.568045,-0.287712,-0.645448,0.288411,1.0,40.0,152.0,125.0
0.001766,0.884799,0.006037,0.202722,-0.320067,0.01061,-0.988934,-1.597277,0.384922,-0.523323,-0.041676,0.661634,-0.287712,1.592268,1.150995,1.0,41.0,151.0,125.0
-0.746805,-0.542956,-0.304195,0.202722,0.037419,0.382465,-0.031986,0.716561,0.706926,-0.155168,-0.947128,-0.224911,-0.287712,0.589154,0.264131,1.0,42.0,150.0,125.0
-0.425989,0.929886,0.487491,0.202722,-0.385064,-0.547173,0.06525,-0.26682,1.733315,0.581143,-1.4074,-0.48745,-0.287712,0.511991,-0.505166,1.0,43.0,149.0,125.0
-1.254764,-0.05344,-0.33471,0.202722,0.378655,-0.361245,-1.240325,0.485178,0.847803,-1.075555,-0.875447,0.018603,-0.287712,1.05213,1.545867,1.0,44.0,148.0,125.0
0.349317,-1.023884,-0.680543,0.202722,-0.141324,0.382465,0.354587,0.485178,-0.299337,-0.155168,-1.270324,-0.369498,0.590767,-1.031261,0.510766,1.0,45.0,147.0,125.0
0.08197,0.236405,-0.322843,0.202722,-0.255069,0.01061,0.361702,-0.960972,0.284296,0.397065,-1.220021,-0.833697,0.590767,0.049015,0.257742,1.0,46.0,146.0,125.0
-0.506193,-1.474754,-0.048211,0.202722,0.75239,0.01061,-0.627262,-0.84528,-0.077959,-0.155168,-1.534414,-0.848917,-0.287712,0.511991,1.699216,1.0,47.0,145.0,125.0
-1.361703,0.283639,-0.680543,0.202722,0.167414,0.382465,-1.43124,0.195948,0.062918,0.02891,-1.059052,0.684463,-0.287712,0.126178,0.136341,1.0,48.0,144.0,125.0
-0.452724,-0.609513,-0.91788,0.202722,0.50865,0.196538,-0.793275,-0.84528,-1.023847,-0.339245,-0.368645,-0.171642,-0.287712,1.05213,1.220002,1.0,49.0,143.0,125.0
0.990949,0.279345,0.075543,0.202722,0.00492,0.01061,-1.03518,0.60087,0.908179,0.581143,-1.397339,-0.304814,-0.287712,-0.568286,0.719064,1.0,50.0,142.0,125.0
1.097888,-0.35402,-0.46694,0.202722,-0.303818,-0.7331,-1.214237,-1.423739,0.062918,-0.155168,-0.509493,1.171492,0.590767,0.126178,0.137619,1.0,51.0,141.0,125.0
0.964214,-0.734039,-1.289141,0.202722,-1.425023,-0.361245,-0.156496,-1.712969,0.445298,0.212988,-0.703159,1.304664,-1.166191,0.589154,-0.19847,1.0,52.0,140.0,125.0
0.563194,-1.582104,-0.155013,0.202722,0.394905,-0.175317,-0.732799,-0.440358,0.163544,0.02891,-0.506978,0.844269,-0.287712,-0.182472,0.296079,1.0,53.0,139.0,125.0
0.055235,1.159616,-0.33471,0.202722,0.053668,-0.361245,-0.123294,0.080256,1.129557,0.02891,-1.064082,-0.027056,-0.287712,0.280503,-1.527488,1.0,54.0,138.0,125.0
0.0285,-0.480693,-0.27029,0.202722,0.866136,-0.361245,-0.994863,0.195948,0.465423,-0.7074,-0.54219,-0.476035,-0.287712,1.05213,0.030275,1.0,55.0,137.0,125.0
0.242378,-0.184407,-0.409302,0.202722,0.102416,-0.919028,-1.76801,-0.613896,1.210058,-0.339245,-0.378706,-0.662476,-1.166191,-1.88005,-0.172912,1.0,56.0,136.0,125.0
-0.720071,-0.755509,-0.065164,0.202722,-0.807547,-0.175317,-0.774302,-0.440358,-0.520715,0.397065,-0.368645,0.254508,-0.287712,-0.645448,0.030275,1.0,57.0,135.0,125.0
-1.334968,0.702304,-0.878889,0.202722,0.362406,0.568393,-0.830035,-0.613896,0.666676,-0.339245,-0.79622,0.467583,-2.04467,0.049015,-0.831032,1.0,58.0,134.0,125.0
-0.185377,2.046327,0.056895,0.202722,1.142375,0.196538,-0.862052,-0.613896,-1.124473,-0.7074,-1.207446,1.064954,-0.287712,-0.028147,1.150995,1.0,59.0,133.0,125.0
-0.158642,-0.953033,-0.017697,0.202722,0.134915,0.01061,-0.668765,0.253794,1.230183,-0.523323,-0.694356,-1.210383,0.590767,-0.259635,0.417479,1.0,60.0,132.0,125.0
-0.800275,-0.781273,0.397642,0.202722,0.281159,0.940248,-0.80039,-0.324666,0.928304,0.581143,-0.849038,0.258313,-1.166191,-0.259635,0.121006,1.0,61.0,131.0,125.0
-0.613132,-1.202085,-0.616123,0.202722,0.866136,0.75432,-0.439904,-0.498204,0.626425,0.76522,-0.771068,-0.476035,-1.166191,0.820642,-1.068721,1.0,62.0,130.0,125.0
0.536459,1.063001,-1.321351,0.202722,-0.710051,0.01061,-0.87391,0.832253,-0.641467,-0.891478,-0.965992,0.61217,1.469246,-1.185587,-0.13713,1.0,63.0,129.0,125.0
-0.452724,-0.575161,-0.519493,0.202722,-0.060077,0.75432,-1.619784,0.485178,-0.11821,-0.339245,-1.290445,-0.49506,-1.166191,0.049015,0.379142,1.0,64.0,128.0,125.0
-0.319051,-0.530074,0.011123,0.202722,0.086167,-0.547173,-1.579466,1.121483,-0.681717,1.317453,-0.688068,0.79861,-0.287712,-0.182472,0.266687,1.0,65.0,127.0,125.0
0.269112,0.281492,-0.619514,0.202722,0.134915,0.01061,0.251422,-1.308047,-0.238961,-0.155168,-1.269067,-1.084821,-1.166191,0.203341,-0.500055,1.0,66.0,126.0,125.0
-0.185377,0.650776,-0.026173,0.202722,0.638645,0.75432,-0.840708,0.138102,1.532062,0.397065,-0.545963,-1.031552,0.590767,0.357666,-0.809307,1.0,67.0,125.0,125.0
0.295847,-1.101176,0.211164,0.202722,0.199912,0.75432,-0.658093,-0.035436,-0.319462,0.212988,-0.757235,0.174605,-0.287712,0.203341,-0.471941,1.0,68.0,124.0,124.0
0.108704,0.753832,-0.327929,0.202722,1.191123,0.196538,-0.799204,0.253794,0.686801,0.76522,-1.167203,0.36485,-0.287712,0.589154,0.253908,1.0,69.0,123.0,123.0
-0.479459,-0.680364,-0.066859,0.202722,0.151164,0.940248,-0.462435,0.253794,0.103168,1.133375,-1.012522,0.315387,-0.287712,-0.491123,1.239171,1.0,70.0,122.0,122.0
-0.506193,-1.455431,-0.014306,0.202722,0.232411,-0.547173,-1.332818,-0.382512,-0.319462,0.581143,-0.519554,0.128946,-1.166191,-0.954099,0.431536,1.0,71.0,121.0,121.0
0.0285,-1.704483,0.616331,0.202722,-0.255069,0.196538,-0.34504,-0.55605,0.183669,0.581143,-0.561054,-0.932625,-1.166191,-0.645448,-0.585674,1.0,72.0,120.0,120.0
-0.292316,1.041531,-0.88906,0.202722,-0.060077,-0.547173,-0.911856,-0.440358,0.324546,0.76522,-1.076658,-0.593987,-1.166191,0.820642,0.551659,1.0,73.0,119.0,119.0
1.498908,-0.545103,-0.287243,0.202722,0.183663,0.196538,-1.361277,1.237175,0.747177,-1.627788,-0.722023,-0.232521,-0.287712,-0.954099,0.353584,1.0,74.0,118.0,118.0
-1.17456,-1.045354,-1.416286,0.202722,-0.515059,0.196538,-1.779868,-0.84528,-0.218836,0.949298,-1.041446,1.616667,-0.287712,-0.259635,-0.028509,1.0,75.0,117.0,117.0
-0.506193,0.433929,-0.717839,0.202722,-0.417563,-0.7331,-0.092463,0.427332,-0.601216,-0.523323,-0.247918,-0.761404,-2.04467,0.743479,1.130549,1.0,76.0,116.0,116.0
0.402786,-0.190848,-0.373701,0.202722,1.126125,0.01061,-1.291315,0.253794,-0.560966,0.397065,-0.397569,1.27042,0.590767,0.511991,-1.013772,1.0,77.0,115.0,115.0
-1.094356,-1.380286,0.156915,0.202722,-0.726301,0.382465,-1.773939,0.195948,0.807553,1.869685,-0.566084,-1.533801,-0.287712,-0.336798,-0.073235,1.0,78.0,114.0,114.0
-0.746805,-1.015296,0.128096,0.202722,-0.23882,-0.361245,-1.12293,-0.093282,-0.057834,1.317453,-0.378706,-0.243936,1.469246,-0.182472,-0.53967,1.0,79.0,113.0,113.0
-1.22803,1.024355,-1.626498,0.202722,-0.011329,0.01061,-1.619784,1.584251,-0.721968,0.76522,-0.471766,0.14797,-0.287712,-0.259635,0.089058,1.0,80.0,112.0,112.0
0.88401,-0.508604,-0.192308,0.202722,-0.060077,0.75432,-1.425311,0.369486,-0.440214,-0.155168,-1.1999,0.193629,-0.287712,-1.185587,0.238573,1.0,81.0,111.0,111.0
-0.960683,0.403871,-0.678848,0.202722,0.427403,0.75432,-1.080241,-0.671742,0.143419,-0.523323,-0.549735,-0.799453,0.590767,-0.259635,-1.061054,1.0,82.0,110.0,110.0
0.696867,0.184877,0.543435,0.202722,-0.693802,0.382465,-0.978261,-0.84528,0.103168,-0.155168,-0.891795,-0.259155,-1.166191,-0.954099,-0.344151,1.0,83.0,109.0,109.0
0.643398,-0.358314,0.58073,0.202722,-0.011329,-0.175317,-0.813434,0.080256,-0.681717,0.02891,-0.864128,-0.217301,-0.287712,-1.494237,-1.137728,1.0,84.0,108.0,108.0
-0.319051,0.629306,0.472234,0.202722,0.784889,-0.919028,-0.148196,-0.035436,0.847803,-0.155168,-0.390024,1.152467,-0.287712,0.666317,-0.89876,1.0,85.0,107.0,107.0
-1.495376,0.345902,0.065371,0.202722,-0.368815,0.75432,-1.194078,0.080256,-0.11821,0.581143,-1.050249,-0.087934,1.469246,0.126178,0.513322,1.0,86.0,106.0,106.0
-0.185377,-0.107115,1.682649,0.202722,0.297408,1.49803,-0.807505,-0.151128,-0.903095,0.02891,-1.006234,0.494217,-1.166191,-0.336798,-0.180579,1.0,87.0,105.0,105.0
-1.17456,-1.266495,0.494272,0.202722,0.914884,0.196538,-1.256926,0.543024,0.646551,-0.339245,-0.872932,1.483495,-0.287712,-0.182472,-0.584396,1.0,88.0,104.0,104.0
-0.425989,-0.527927,-0.161794,0.202722,-0.011329,-0.175317,-0.247803,0.543024,-0.661592,0.397065,-0.410145,1.114418,-0.287712,0.203341,-0.32626,1.0,89.0,103.0,103.0
0.723602,-0.603072,1.65383,0.202722,-1.685012,0.75432,-0.718569,-0.26682,-0.782343,0.581143,-1.093007,-0.894576,-1.166191,0.434829,1.493473,1.0,90.0,102.0,102.0
-1.121091,-0.50431,0.268802,0.202722,-0.612555,-0.361245,-0.783789,-0.26682,-0.661592,0.76522,-0.504463,-0.940235,1.469246,1.437943,0.381698,1.0,91.0,101.0,101.0
1.311765,0.609983,-0.407606,0.202722,-0.173823,1.49803,-1.063639,0.485178,0.062918,-0.155168,-0.882992,-0.814672,-0.287712,0.511991,-0.027231,1.0,92.0,100.0,100.0
1.204826,1.406521,0.899439,0.202722,0.24866,0.196538,-1.121744,0.543024,-0.903095,0.397065,-0.661659,0.052848,-0.287712,-0.491123,-1.362639,1.0,93.0,99.0,99.0
0.135439,-0.841389,0.299317,0.202722,-0.092576,1.683958,-1.363649,0.658716,-0.54084,0.212988,-0.755977,1.24759,0.590767,-0.568286,0.274354,1.0,94.0,98.0,98.0
1.231561,-2.058738,1.174071,0.202722,-0.011329,-0.7331,-1.005535,0.080256,0.083043,-0.7074,-0.85281,1.441641,1.469246,-1.262749,-0.35054,1.0,95.0,97.0,97.0
-0.559663,-0.669629,-1.358647,0.202722,-0.937542,0.196538,-1.022136,0.138102,-0.440214,0.02891,-0.971022,0.437144,-0.287712,-0.336798,-0.368431,1.0,96.0,96.0,96.0
-0.880479,1.842362,0.785857,0.202722,-0.840046,0.568393,-1.331632,0.543024,-0.420089,0.02891,-1.216249,-0.346668,-0.287712,0.666317,-0.741578,1.0,97.0,95.0,95.0
-1.067622,0.841859,0.234897,0.202722,-1.896254,0.01061,-1.403966,0.02241,0.867928,0.02891,-1.323142,-0.700525,-1.166191,0.280503,-1.264241,1.0,98.0,94.0,94.0
0.162174,1.189674,0.501053,0.202722,-0.255069,0.382465,-1.44547,0.195948,-0.92322,0.76522,-0.835204,1.083979,0.590767,-0.799773,-1.559436,1.0,99.0,93.0,93.0
-0.479459,0.524103,1.385979,0.202722,0.492401,0.196538,-1.376693,1.584251,-0.661592,0.397065,-0.744659,0.1708,-0.287712,0.049015,0.698618,1.0,100.0,92.0,92.0
0.937479,-0.646012,0.039942,0.202722,-0.888794,0.01061,-0.596431,1.468559,0.022667,0.397065,-1.564596,0.59695,-1.166191,-1.339912,0.774014,1.0,101.0,91.0,91.0
1.204826,0.412459,0.041638,0.202722,-0.807547,1.683958,-0.707897,0.716561,-1.003721,-0.155168,-1.007492,1.388372,0.590767,0.126178,0.140174,1.0,102.0,90.0,90.0
-0.506193,-1.270789,0.006037,0.202722,-0.450062,0.568393,-0.480222,1.179329,-0.943346,0.76522,-1.762035,0.254508,-0.287712,-1.802888,0.952921,1.0,103.0,89.0,89.0
-0.292316,0.738803,0.521396,0.202722,-0.417563,0.382465,-1.494088,-0.151128,1.008805,0.581143,-0.820113,-0.666281,-0.287712,0.280503,-0.19208,1.0,104.0,88.0,88.0
-1.040887,0.234258,0.007732,0.202722,-1.311277,0.568393,-1.063639,-0.324666,-0.138335,0.397065,-0.553508,0.494217,0.590767,-1.185587,0.400867,1.0,105.0,87.0,87.0
0.750337,0.399577,0.216249,0.202722,-0.515059,0.382465,-0.890511,0.427332,-0.742093,0.581143,-1.513036,1.780278,-0.287712,1.206455,0.772736,1.0,106.0,86.0,86.0
0.349317,1.704954,0.772295,0.202722,-0.287568,0.196538,-1.025694,-0.093282,-0.259087,0.212988,-0.755977,0.1708,3.226204,0.666317,0.693506,1.0,107.0,85.0,85.0
2.915846,-0.274581,-0.62799,0.202722,0.833637,1.49803,-1.221352,1.410713,-0.721968,-0.523323,-0.866644,-0.240131,0.590767,-1.339912,-0.653403,1.0,108.0,84.0,84.0
0.242378,-0.158643,1.004545,0.202722,-0.531308,0.75432,-0.735171,1.237175,-0.520715,0.949298,-0.93581,-1.670778,1.469246,0.974967,0.022607,1.0,109.0,83.0,83.0
0.402786,0.605689,-0.322843,0.202722,0.26491,1.312103,-0.703154,1.063637,0.26417,1.133375,-1.414945,1.68135,0.590767,1.05213,-0.756913,1.0,110.0,82.0,82.0
0.723602,-0.603072,0.836715,0.202722,-0.693802,1.126175,-0.674694,1.468559,-0.701842,1.50153,-0.755977,0.954612,-0.287712,-0.028147,-1.799682,1.0,111.0,81.0,81.0
0.696867,-0.156496,-0.226213,0.202722,-1.181282,0.01061,-0.717383,-0.84528,0.042792,0.397065,-0.866644,0.947002,1.469246,-0.645448,-0.42977,1.0,112.0,80.0,80.0
0.750337,0.786037,0.579035,0.202722,-1.636264,0.75432,-0.495637,0.543024,-0.259087,1.869685,-1.14331,1.460665,0.590767,-0.182472,-0.565228,1.0,113.0,79.0,79.0
-0.238846,0.264316,-0.034649,0.202722,0.606146,0.196538,-1.274713,1.237175,-0.399963,1.685608,-0.761008,0.357241,1.469246,-0.259635,0.269243,1.0,114.0,78.0,78.0
0.696867,1.642691,0.58073,0.202722,0.346157,0.940248,-0.825292,0.369486,-1.043972,1.133375,-1.359612,0.566511,0.590767,0.049015,-0.666182,1.0,115.0,77.0,77.0
0.643398,-1.476901,-0.200785,0.202722,0.784889,0.382465,-0.903555,0.369486,-0.560966,-0.155168,-0.496917,-0.521694,1.469246,0.820642,-0.04001,1.0,116.0,76.0,76.0
-0.051704,0.554161,1.046927,0.202722,1.093627,0.75432,-0.915413,0.890099,-1.325726,0.76522,-1.545733,0.227874,-1.166191,-1.494237,-2.271228,1.0,117.0,75.0,75.0
-0.158642,-0.326109,1.045231,0.202722,0.541149,0.75432,-0.736356,1.063637,-1.144598,1.133375,-0.4026,0.003384,0.590767,-0.336798,-0.737745,1.0,118.0,74.0,74.0
0.723602,2.063503,0.217945,0.202722,-0.23882,0.75432,-1.356534,1.063637,-0.842719,0.581143,-1.831201,-0.008031,1.469246,0.666317,-0.45405,1.0,119.0,73.0,73.0
1.097888,1.415109,0.763818,0.202722,-0.417563,0.75432,-1.02095,1.352867,-1.084223,0.76522,-1.614899,-0.635842,0.590767,-0.876936,-0.616344,1.0,120.0,72.0,72.0
0.616663,1.367875,1.479218,0.202722,-0.352566,0.196538,-1.939952,0.427332,-1.164724,-0.339245,-0.562311,0.254508,1.469246,-2.265864,0.864745,1.0,121.0,71.0,71.0
2.407887,1.393639,1.830137,0.202722,-0.791298,1.683958,-1.771567,1.352867,-1.929484,1.133375,-0.830174,0.227874,0.590767,-0.491123,-0.958822,1.0,122.0,70.0,70.0
2.648499,-0.113556,-0.022782,0.202722,-2.074997,1.126175,-0.935572,0.253794,-0.560966,2.053763,-1.093007,0.760561,-0.287712,-0.182472,-0.796528,1.0,123.0,69.0,69.0
0.215643,-0.0105,-0.151622,0.202722,-2.692472,1.312103,-0.509867,1.063637,-0.963471,1.317453,-0.577402,0.83666,0.590767,-0.954099,-1.536434,1.0,124.0,68.0,68.0
1.498908,-0.369049,0.550216,0.202722,-2.399984,1.312103,-1.324517,1.526405,-0.621341,0.949298,-1.519324,-0.445596,1.469246,-1.88005,-0.644458,1.0,125.0,67.0,67.0
0.242378,-0.97665,2.59809,0.202722,-0.320067,-0.175317,-0.974704,0.716561,-1.064097,0.397065,-0.939583,0.692073,-0.287712,-0.568286,-1.602885,1.0,126.0,66.0,66.0
1.579112,-0.062028,-0.6246,0.202722,-0.173823,0.568393,-1.118187,1.526405,-1.084223,0.76522,-0.680523,1.635691,0.590767,-0.10531,-0.985658,1.0,127.0,65.0,65.0
0.188908,1.434432,0.658712,0.202722,-1.912503,1.312103,-0.087719,1.468559,0.163544,1.869685,-0.79622,0.825245,0.590767,-0.568286,-1.153063,1.0,128.0,64.0,64.0
0.0285,0.889093,0.889268,0.202722,-2.432483,0.568393,-1.334004,1.410713,0.284296,1.317453,-1.393566,1.844961,0.590767,-0.645448,-1.133894,1.0,129.0,63.0,63.0
0.803806,-0.276728,1.538552,0.202722,-2.042498,1.312103,-1.70279,0.543024,-0.782343,0.212988,-1.650111,-0.982089,1.469246,-1.648562,-0.105183,1.0,130.0,62.0,62.0
1.632581,-0.302492,1.708078,0.202722,-0.352566,0.940248,-1.450213,1.931327,-0.862845,1.317453,-1.513036,0.501827,-1.166191,-1.494237,-0.138408,1.0,131.0,61.0,61.0
2.113805,1.904625,0.438328,0.202722,-1.230031,2.055813,-1.575909,1.121483,-0.480464,1.869685,-1.193612,0.117531,0.590767,-3.03749,-0.456606,1.0,132.0,60.0,60.0
0.135439,1.170351,1.175766,0.202722,-0.157573,0.940248,-0.756515,1.179329,-1.3056,0.581143,-0.94084,1.551983,1.469246,0.203341,-1.306411,1.0,133.0,59.0,59.0
1.204826,-0.766244,-0.085507,0.202722,-1.165033,0.940248,-1.324517,2.220557,-0.721968,1.317453,-0.89431,0.368655,0.590767,-1.88005,-0.907706,1.0,134.0,58.0,58.0
0.135439,-0.351873,0.619721,0.202722,-1.343776,1.49803,-0.792089,-0.151128,-1.788607,1.133375,-1.140794,0.174605,-0.287712,-0.568286,-1.021439,1.0,135.0,57.0,57.0
1.178092,-0.530074,0.206078,0.202722,0.427403,0.01061,-1.949438,0.369486,-0.681717,0.949298,-1.003719,1.03832,0.590767,-1.262749,-2.356847,1.0,136.0,56.0,56.0
0.08197,1.610486,0.334918,0.202722,-0.856295,1.49803,-1.989756,3.0304,-0.50059,1.133375,-1.207446,1.118223,1.469246,-0.41396,-1.214402,1.0,137.0,55.0,55.0
1.044418,0.564896,1.723335,0.202722,-1.636264,0.940248,-0.911856,0.195948,-0.621341,2.23784,-1.099294,0.045238,-0.287712,0.589154,0.154231,1.0,138.0,54.0,54.0
1.899928,1.093059,1.597886,0.202722,-1.083786,0.01061,-1.484601,1.757789,-1.708106,1.685608,-1.690353,1.616667,1.469246,-0.336798,-0.155021,1.0,139.0,53.0,53.0
1.73952,0.794625,0.879096,0.202722,-2.871215,2.055813,-0.175469,0.832253,-1.225099,-0.155168,-1.02384,0.764366,0.590767,-0.799773,0.205348,1.0,140.0,52.0,52.0
